-,-,-
-1040, 252, 120
-995, 86, 243
-894, -27, 341
-878, -74, 298
-981, 78, 97
-980, 45, 236
-980, 45, 236
-879, -153, 448
-836, -198, 246
-886, -160, 118
-917, -180, 139
-830, -334, 175
-713, -523, 26
-704, -565, -175
-771, -473, -109
-813, -421, 114
-813, -421, 114
-771, -411, 364
-636, -489, 200
-433, -619, -222
-324, -683, -461
-325, -656, -193
-321, -516, 335
-399, -317, 593
-582, 112, 744
-754, 506, 1275
-890, 870, 1879
-1018, 1176, 1998
-1067, 1427, 1998
-1129, 1609, 1929
-1054, 1538, 1677
-822, 1087, 1521
-583, 554, 1241
-410, 80, 1010
-366, -254, 809
-437, -493, 659
-437, -493, 659
-555, -641, 504
-551, -848, 563
-529, -1030, 431
-601, -1109, 210
-747, -1074, -30
-871, -1017, -123
-901, -1107, -68
-920, -1251, -151
-992, -1228, -176
-1082, -1081, -63
-1187, -898, 41
-1242, -813, 198
-1221, -816, 401
-1197, -735, 411
-1247, -530, 393
-1249, -317, 403
-1175, -169, 442
-1018, -107, 422
-832, -91, 393
-641, -48, 372
-477, 73, 386
-407, 338, 414
-407, 338, 414
-447, 628, 317
-509, 728, 271
-521, 647, 138
-511, 488, 201
-458, 302, 481
-541, 236, 395
-,-,-
-952, 142, 271
-897, 29, 334
-937, 90, 264
-970, 135, 139
-970, 135, 110
-927, 92, 110
-852, 15, 33
-724, -84, 4
-556, -173, -90
-460, -335, -261
-410, -559, -603
-313, -597, -698
-251, -559, -363
-337, -462, 58
-337, -462, 58
-460, -391, 408
-470, -452, 662
-554, -244, 929
-682, 92, 1423
-827, 467, 1957
-947, 822, 1998
-975, 1137, 1998
-929, 1232, 1972
-818, 1038, 1868
-661, 719, 1567
-558, 531, 1337
-558, 531, 1337
-513, 444, 1264
-529, 326, 1267
-624, 174, 1219
-614, -241, 1066
-594, -577, 731
-611, -899, 271
-682, -1279, -61
-766, -1628, -8
-870, -1855, -130
-991, -1864, -231
-1105, -1695, -217
-1186, -1507, 19
-1268, -1162, 297
-1305, -835, 408
-1344, -599, 498
-1401, -373, 603
-1410, -245, 631
-1309, -160, 558
-1176, -83, 428
-981, -75, 408
-784, -75, 569
-582, -52, 560
-582, -52, 560
-379, -12, 376
-297, 93, 81
-211, 298, -81
-187, 586, 239
-176, 656, 737
-194, 522, 639
-,-,-
-909, 112, 145
-946, 99, -36
-946, 99, -36
-720, -109, -77
-634, -225, -65
-674, -249, 66
-709, -170, 142
-686, -211, -137
-598, -396, -437
-530, -466, -307
-545, -372, 117
-546, -357, 438
-608, -221, 229
-619, -61, 222
-619, -61, 222
-558, 33, 677
-476, 0, 1282
-485, 189, 1535
-562, 599, 1762
-624, 965, 1985
-687, 1345, 1998
-665, 1431, 1998
-552, 1368, 1799
-388, 1036, 1307
-331, 687, 975
